;;N°;;;Type;Date;Date;;;;;;;;;;
N° mandant;Nom court mandant;Mandataire;Nom court mandataire;PM/PP;mandat;attribution;résiliation;Motif attribution mandat;Nom contact chez le mandataire;Prénom contact;Téléfon contact;Fax contact;N° CCP;N° compte bancaire;IBAN;BIC SWIFT;Nom institution financière
-----------;------------------------------;-----------;------------------------------;-----;------;-----------;-----------;----------------------------------------;------------------------------;--------------------;----------------;----------------;---------------;--------------------;----------------------------------------;------------;--------------------------------------------------
3175;SUR LE CANAL;10919;DATANOVA;ENT;G;01.01.2012;30.06.2015;;;;021 661'42'17;;;;;;
3185;DUC FRERES;6071;VELEDES FIDUCIAIRE ANCIEN;ETA;G;01.01.2005;31.12.2015;;;;021 323'67'83;021 323'67'73;;;-;-;-
3185;DUC FRERES;35201;FIDUCIAIRE VELEDES LAUSANNE;ENT;G;01.01.2016;;;;;;;;;;;
3230;MICHEL MAHON;54;MULTIFIDUCIAIRE LEMAN;ENT;G;11.11.1995;;;;;021 966'80'00;;;;;;
3334;LEMAN LINE;1108;FIDUCIAIRE INTERMANDAT;ENT;G;01.01.2015;;;;;;;;;;;
3408;DOMAINE AUCRET;2047;FIDUCIAIRE LAMBELET FIDAL;ENT;G;01.01.2015;;;;;;;;;;;
3492;MAITRISE FEU DENERVAUD;70003;FIDUCI;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
3584;MILOCH TRANSPORTS;50;FIDUCIAIRE CENTRE;ENT;G;11.03.1993;31.12.2014;;;;021 654'21'11;021 654'21'15;;;-;-;-
3644;NAILTECH;13;FIDUCONSULT LAUSANNE;ENT;G;01.01.2012;31.12.2014;;;;021 643'11'44;;;;;;
3652;SERVICE EDITION ELEMENTS SEDEM;21807;GRF FIDUCIAIRE;ENT;G;01.01.2011;31.12.2015;;;;021 804'16'50;;;;;;
3657;AC ATELIER COMMUN;57;KPMG LAUSANNE;ETA;G;01.01.2013;31.12.2014;;;;058 249'46'12;;;;;;
3762;AVENUE JOMINI IMMOBILIERE;15951;BROLLIET;ENT;G;01.01.2015;;;;;;;;;;;
3850;BOAS YAKHIN HOLDING;46887;TERTIANUM ROMANDIE MANAGEMENT;ENT;G;01.01.2008;31.12.2014;;;;021 805'40'00;;;;;;
3850;BOAS YAKHIN HOLDING;32089;BOAS GESTION;ENT;G;01.01.2015;;;;;;;;;;;
3885;DEXTERM;583;FIDUCIAIRE AVONDO;ENT;G;01.01.2015;;;;;;;;;;;
3900;CASTERS LOUIS;54523;FIDUCOM;ENT;G;01.01.2015;;;;;;;;;;;
3940;BELINO NYON;9738;FIDUCIAIRE HELLER;ENT;G;01.01.2013;31.12.2014;;;;022 994'77'00;;;;;;
3981;PARC;959;STE CONTROLE FIDUCIAIRE;ETA;G;01.01.2008;31.12.2014;;;;021 313'44'30;;;;;;
4007;GROSJEAN;28127;FIDASSIST;ENT;G;01.01.2015;;;;;;;;;;;
4073;AIGUE MARINE;31412;ALPINA FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
4226;CUENDET FRERES;32318;MONRIBOT JD CABINET FISCAL;ENT;G;02.01.2015;02.01.2015;;;;;;;;;;
4280;GRAND AIR BELLEVUE;2063;BETTEX FRERES & PARTENAIRES;ENT;G;01.01.2006;31.12.2014;;;;021 321'10'61;;;;;;
4367;DURIG BOIS;9738;FIDUCIAIRE HELLER;ENT;G;01.01.2015;;;;;;;;;;;
4401;SANICOUNT;51575;FIDACOR;ENT;G;01.01.2007;31.12.2014;;;;021 804'88'04;;;;;;
4453;TRADITION SERVICE HOLDING;6765;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2006;31.12.2014;;;;058 792'81'00;;;;;;
4749;GARAGE AUTOMAR;64470;MCM FIDUCIAIRE RIVIERA;ENT;G;01.01.2015;;;;;;;;;;;
4794;CORDON BLEU;1110;MCD CONSEIL;ENT;G;07.07.2006;;;;;021 706'53'10;;;;;;
4803;BARBARO;40335;FIDUCIAIRE BESSAUD;ENT;G;01.01.2015;;;;;;;;;;;
5021;CARROSSERIE ETOILES;6071;VELEDES FIDUCIAIRE ANCIEN;ETA;G;01.01.2006;31.12.2015;;;;021 323'67'83;021 323'67'73;;;-;-;-
5021;CARROSSERIE ETOILES;35201;FIDUCIAIRE VELEDES LAUSANNE;ENT;G;01.01.2016;;;;;;;;;;;
5032;ARCHEOTECH;36187;PRATEO CONSEIL;ENT;G;01.01.2009;31.12.2015;;;;021 721'08'60;;;;;;
5032;ARCHEOTECH;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
5036;DOMAINE CHENE;46744;FIGEAS;ENT;G;01.01.2006;31.12.2014;;;;021 544'43'10;;;;;;
5036;DOMAINE CHENE;59874;CFD CABINET FIDUCIAIRE DAYER;ENT;G;01.01.2015;;;;;;;;;;;
5117;ECOVAL LOUIS JAQUET;6071;VELEDES FIDUCIAIRE ANCIEN;ETA;G;01.01.2010;31.12.2015;;;;;;;;;;
5117;ECOVAL LOUIS JAQUET;35201;FIDUCIAIRE VELEDES LAUSANNE;ENT;G;01.01.2016;;;;;;;;;;;
5145;MJL CUIR DESIGN;21898;RC FIDUCIAIRE RICHARD CASTRO;ETA;G;01.01.2015;;;;;;;;;;;
5149;LUNETTERIE CENTRE MAYER;21807;GRF FIDUCIAIRE;ENT;G;01.01.2007;31.12.2014;;;;021 804'16'50;;;;;;
5235;GROCQ & GOY;1110;MCD CONSEIL;ENT;G;01.01.2005;31.12.2014;;;;021 706'53'10;;;;;;
5338;CHENTOWN;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
5465;IMMOBILIS;10328;PBBG GERANCE & GESTIONS;ENT;G;01.01.2009;;;;;;;;;;;
5533;MCC AVIATION;54523;FIDUCOM;ENT;G;01.01.2015;;;;;;;;;;;
5695;WUTHRICH G & N;61323;FIDURBA ORBE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
5695;WUTHRICH G & N;2047;FIDUCIAIRE LAMBELET FIDAL;ENT;G;01.01.2015;;;;;;;;;;;
5896;GARAGE VAL MONT;2063;BETTEX FRERES & PARTENAIRES;ENT;G;01.01.2011;30.04.2015;;;;;;;;;;
5944;CYLENK;22203;FIDIMMOB;ETA;G;01.01.2015;;;;;;;;;;;
6292;ACPIDEME HOLDING;19963;MA FIDUCIA;ENT;G;01.01.2012;31.12.2014;;;;021 886'32'80;;;;;;
6292;ACPIDEME HOLDING;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
6340;NOVIC;53903;PROFIDUCIAIRE;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
6526;PLEGA;15951;BROLLIET;ENT;G;01.01.2015;;;;;;;;;;;
6576;SCHNEIDER PAYSAGE;19962;BERNEY TEMKO;ENT;G;01.01.2014;31.12.2014;;;;058 234'91'62;;;;;;
6576;SCHNEIDER PAYSAGE;46901;OFFICE CONSULTANT FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
6880;FOETISCH MAURICE & PIERRE;58017;ILEX FIDUCIAIRE;ENT;G;01.01.2011;30.06.2015;;;;021 349'10'00;;;;;;
6931;STRAHM VUITEBOEUF;1034;FIDUREX;ENT;G;01.01.2004;31.12.2014;;;;024 425'71'55;;;;-;-;-
6931;STRAHM VUITEBOEUF;24035;GENEVAY CHRISTIAN;ETA;G;01.01.2015;;;;;;;;;;;
6974;MOUSSON B;2063;BETTEX FRERES & PARTENAIRES;ENT;G;01.01.2015;;;;;;;;;;;
7008;SOUDURE TUYAUTERIE SERVICE STS;522;FIREL BERNEY;ENT;G;01.01.2015;;;;;;;;;;;
7130;ASIC;36187;PRATEO CONSEIL;ENT;G;01.01.2007;31.12.2015;;;;021 721'08'60;;;;;;
7130;ASIC;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
7212;HABITATION DE SALES;2647;FIDUCIAIRE CHARLES MEICHTRY;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
7561;PARKING CENTRE VILLE;17481;BDO EPALINGES;ETA;G;01.01.2015;;;;;;;;;;;
7676;RIVE OR;2172;AA FIDU NYON;ENT;G;01.01.2010;31.12.2014;;;;022 365'51'60;;;;;;
7676;RIVE OR;52209;FM BUREAU COMPTABLE;ENT;G;01.01.2015;;;;;;;;;;;
7679;SOCIETE COOPERATIVE ALPAGE BEX;4692;LE COVE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
7758;ALPES SERVICE BOISSONS;17481;BDO EPALINGES;ETA;G;01.01.2013;31.12.2014;;;;;;;;;;
7758;ALPES SERVICE BOISSONS;36657;FIDEXPERT FRIBOURG;ENT;G;01.01.2015;;;;;;;;;;;
7856;GRAND PAQUIER HOLDING;72972;VALOREMTAX FINANCE;ENT;G;01.01.2015;;;;;;;;;;;
7942;LAITERIE MUIDS;4419;;ETA;G;01.01.2015;;;;;;;;;;;
8290;ALUXE;171738;René Gonthier;IND;G;01.01.2014;31.12.2014;;;;;;;;;;
8388;MONTELAZ;8062;FIDUCIAIRE CIFAG;ENT;G;01.07.2014;;;;;;;;;;;
8418;MIMATECH;11797;FIDUCIAIRE FIDAZED;ENT;G;01.01.2015;;;;;;;;;;;
8471;GOTTEX ASSET MANAGEMENT;19782;CORPORATE PERFORMANCE;ENT;G;01.01.2008;31.12.2014;;;;;;;;;;
8471;GOTTEX ASSET MANAGEMENT;1821;OFISA;ENT;G;01.01.2015;;;;;;;;;;;
8501;RICHARD & CARDINAUX;17481;BDO EPALINGES;ETA;G;01.01.2015;;;;;;;;;;;
8704;ADA REVETEMENTS TAPIS PARQUETS;61703;PARADISIO;ENT;G;01.01.2015;;;;;;;;;;;
8763;TRADITION;6765;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2006;31.12.2014;;;;058 792'81'00;;;;;;
8814;DOMAINE DALEY;7652;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
8859;STUDIOS;6071;VELEDES FIDUCIAIRE ANCIEN;ETA;G;01.01.2009;31.12.2015;;;;021 323'67'83;;;;;;
8859;STUDIOS;35201;FIDUCIAIRE VELEDES LAUSANNE;ENT;G;01.01.2016;;;;;;;;;;;
8870;HABITATION REVEIL;28613;FIDUCONSULT FRIBOURG;ENT;G;01.01.2015;02.01.2015;;;;;;;;;;
8870;HABITATION REVEIL;42494;FIDUCIAIRE SCHULE & KRIEGER;ENT;G;03.01.2015;;;;;;;;;;;
8874;IMPRESSOR;13164;JF CONSEIL THEVOZ;ETA;G;01.01.2015;;;;;;;;;;;
9009;FORT FOLLATERES;2235;FIDEXPERT LAUSANNE;ENT;G;01.01.2013;22.09.2014;;;;021 310'73'73;;;;;;
9199;EFSA;215;FIDUCIAIRE MICHEL FAVRE;ENT;G;01.01.2015;;;;;;;;;;;
9210;CAROZ;327;MCD CONSEIL;ETA;G;01.01.2013;31.12.2014;;;;021 706'53'10;;;;;;
9210;CAROZ;1110;MCD CONSEIL;ENT;G;01.01.2015;;;;;;;;;;;
9216;SCIES MINIATURES;36187;PRATEO CONSEIL;ENT;G;01.10.2009;31.12.2015;;;;021 721'08'60;;;;;;
9216;SCIES MINIATURES;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
9240;RICHARD LOUIS INGENIEURS;6071;VELEDES FIDUCIAIRE ANCIEN;ETA;G;01.01.2004;31.12.2015;;;;021 323'67'83;021 323'67'73;;;-;-;-
9240;RICHARD LOUIS INGENIEURS;35201;FIDUCIAIRE VELEDES LAUSANNE;ENT;G;01.01.2016;;;;;;;;;;;
9249;RICHARDET & JULIER;70044;FIDUCIAIRE LEMANIQUE;ENT;G;01.01.2015;;;;;;;;;;;
9371;RENTING & LEASING;583;FIDUCIAIRE AVONDO;ENT;G;01.01.2015;;;;;;;;;;;
9500;COOPERATIVE LAITERIE DONATYRE;9274;FIDASOL;ENT;G;01.01.2008;31.12.2014;;;;;;;;;;
9524;GRM TRADING;23319;FIDUCIAIRE ALLONDON;ETA;G;01.01.2013;31.12.2014;;;;022 754'03'40;;;;;;
9584;AVENUE ALPES 111;62234;JEAN CHRISTOPHE GROSS;ENT;G;01.01.2012;31.12.2014;;;;021'925'30'50;;;;;;
9748;GOLAZ & FLUCKIGER;31461;PELLEGRINI & FURRER;ENT;G;01.01.2015;;;;;;;;;;;
9828;GIORI;16291;ETUDE OBERSON AVOCATS;ETA;G;01.01.2008;31.12.2014;;;;;;;;;;-
9828;GIORI;24565;OBERSON ABELS;ETA;G;01.01.2015;;;;;;;;;;;
9841;COTONNIER;9147;FIDUCIAIRE FIDAG CRANS MONTANA;ETA;G;01.01.2014;31.12.2014;;;;027 485'99'66;;;;;;
9971;MALLIEU B RESIDENCE;1108;FIDUCIAIRE INTERMANDAT;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
9971;MALLIEU B RESIDENCE;31183;CF COMPAGNIE FIDUCIAIRE GESTIO;ENT;G;01.01.2015;;;;;;;;;;;
10209;MERMOUD SERVICE PROVIANDE;57720;DINO VENEZIA CABINET FISCAL;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
10216;EIM HOLDING;19782;CORPORATE PERFORMANCE;ENT;G;01.01.2008;31.12.2014;;;;;;;;;;
10216;EIM HOLDING;1821;OFISA;ENT;G;01.01.2015;;;;;;;;;;;
10309;COMPAGNIE FINANCIERE TRADITION;6765;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2006;31.12.2014;;;;058 792'81'00;;;;;;
10347;SOCIETE FINANCIERE;10;FIDUCIAIRE AUDITORIA;ENT;G;01.01.2015;;;;;;;;;;;
10399;SAN MICHELE STE IMMOBILIERE;15951;BROLLIET;ENT;G;01.01.2015;;;;;;;;;;;
